ID,Species,Long,Lat,Mating.System
LA0118,S. corneliomuelleri,-76.383333,-13.016667,Allogamous - SI
LA0373,S. pimpinellifolium,-78.218333,-9.936944,Autogamous - SC
LA0400,S. pimpinellifolium,-79.964167,-5.260833,Facultative-SC
LA0407,S. habrochaites,-79.883611,-2.180556,Facultative-SC
LA0417,S. pimpinellifolium,-79.916667,-2.733333,Autogamous - SC
LA0442,S. pimpinellifolium,-78.259167,-9.481667,Facultative-SC
LA0483,S. galapagense,-91.55,-0.366667,Autogamous - SC
LA0716,S. pennellii,-73.616667,-16.225,Facultative-SC
LA0746,S. cheesmaniae,-91.416667,-1,Autogamous - SC
LA1044,S. galapagense,-90.548333,-0.284444,Autogamous - SC
LA1245,S. pimpinellifolium,-79.966667,-3.458333,Autogamous - SC
LA1246,S. pimpinellifolium,-79.36,-3.99,Autogamous - SC
LA1269,S. pimpinellifolium,-77.108333,-11.475,Autogamous - SC
LA1272,S. pennellii,-77,-11.52,Allogamous - SI
LA1278,S. peruvianum,-76.958333,-11.641667,Allogamous - SI
LA1341,S. pimpinellifolium,-76.8,-11.9666667,N/A
LA1365,S. huaylasense,-77.416667,-10.15,Allogamous - SI
LA1375,S. pimpinellifolium,-76.4025,-13.074722,Autogamous - SC
LA1521,S. pimpinellifolium,-76.505278,-12.764722,Autogamous - SC
LA1582,S. pimpinellifolium,-79.733333,-6.15,Facultative-SC
LA1595,S. pimpinellifolium,-78.47,-9.27,N/A
LA1617,S. pimpinellifolium,-80.466667,-3.566667,Facultative-SC
LA1718,S. habrochaites,-79.45,-5.233333,Allogamous - SI
LA1777,S. habrochaites,-77.666667,-9.55,Allogamous - SI
LA1933,S. pimpinellifolium,-74.445833,-15.456389,Autogamous - SC
LA1969,S. chilense,-70.028333,-17.552778,Allogamous - SI
LA1983,S. huaylasense,-77.972222,-8.689167,Allogamous - SI
LA2133,S. neorickii,-79.183333,-3.4,Autogamous - SC
LA2147,S. pimpinellifolium,-78.983333,-7.2,Autogamous - SC
LA2157,S. arcanum,-78.808889,-6.505833,Facultative-SC
LA2172,S. arcanum,-78.933333,-6.016667,Allogamous - SI
PI128650,S. peruvianum,-70.165523,-18.521155,Facultative-SC